结果生成时间|算法名称|数据集种类|数据集名称|半径|约简结果|原始数据属性长度|约简之后属性长度|属性集得分|运行时间|5折KNN准确率|5折SVM准确率|5折CART准确率|KNN平均准确率|SVM平均准确率|CART平均准确率
2023-05-14 14:53:38|algorithm4|2fold|Iris|0.02|{0, 2}|4|2|1.0|0.009601354598999023|[0.86666667 0.93333333 1.         0.96666667 0.9       ]|[0.83333333 0.9        0.9        0.9        0.83333333]|[0.86666667 0.93333333 0.93333333 0.96666667 0.93333333]|0.9333333333333333|0.8733333333333333|0.9266666666666667
2023-05-14 14:53:38|algorithm4|2fold|Iris|0.04|{0, 1, 2}|4|3|1.0|0.010000467300415039|[0.86666667 0.9        0.96666667 0.96666667 0.86666667]|[0.86666667 0.9        0.9        0.83333333 0.86666667]|[0.9        0.93333333 0.93333333 0.96666667 0.93333333]|0.9133333333333333|0.8733333333333334|0.9333333333333333
2023-05-14 14:53:38|algorithm4|2fold|Iris|0.06|{0, 1, 2}|4|3|1.0|0.01300048828125|[0.86666667 0.9        0.96666667 0.96666667 0.86666667]|[0.86666667 0.9        0.9        0.83333333 0.86666667]|[0.9        0.93333333 0.93333333 0.96666667 0.93333333]|0.9133333333333333|0.8733333333333334|0.9333333333333333
2023-05-14 14:53:38|algorithm4|2fold|Iris|0.08|{0, 1, 3}|4|3|1.0|0.010999441146850586|[0.9        1.         1.         0.96666667 0.9       ]|[0.9        1.         1.         0.96666667 0.96666667]|[0.86666667 1.         1.         0.96666667 0.93333333]|0.9533333333333334|0.9666666666666666|0.9533333333333334
2023-05-14 14:53:38|algorithm4|2fold|Iris|0.1|{0, 1, 3}|4|3|1.0|0.013000249862670898|[0.9        1.         1.         0.96666667 0.9       ]|[0.9        1.         1.         0.96666667 0.96666667]|[0.86666667 1.         1.         0.96666667 0.93333333]|0.9533333333333334|0.9666666666666666|0.9533333333333334
2023-05-14 14:53:38|algorithm4|2fold|Iris|0.12000000000000001|{1, 2, 3}|4|3|1.0|0.012998819351196289|[0.86666667 1.         1.         1.         0.96666667]|[0.9        1.         1.         0.96666667 0.93333333]|[0.93333333 1.         0.93333333 0.96666667 0.93333333]|0.9666666666666666|0.96|0.9533333333333334
2023-05-14 14:53:38|algorithm4|2fold|Iris|0.14|{1, 2, 3}|4|3|1.0|0.013538122177124023|[0.86666667 1.         1.         1.         0.96666667]|[0.9        1.         1.         0.96666667 0.93333333]|[0.93333333 1.         0.93333333 0.96666667 0.93333333]|0.9666666666666666|0.96|0.9533333333333334
2023-05-14 14:53:38|algorithm4|2fold|Iris|0.16|{1, 2, 3}|4|3|1.0|0.014999628067016602|[0.86666667 1.         1.         1.         0.96666667]|[0.9        1.         1.         0.96666667 0.93333333]|[0.93333333 1.         0.93333333 0.96666667 0.93333333]|0.9666666666666666|0.96|0.9533333333333334
2023-05-14 14:53:38|algorithm4|2fold|Iris|0.18|{0, 1, 2, 3}|4|4|1.0|0.01477193832397461|[0.9        1.         1.         0.96666667 0.96666667]|[0.9        1.         1.         0.96666667 0.96666667]|[0.93333333 1.         0.93333333 0.96666667 0.93333333]|0.9666666666666666|0.9666666666666666|0.9533333333333334
2023-05-14 14:53:38|algorithm4|2fold|Iris|0.19999999999999998|{0, 1, 2, 3}|4|4|0.9916666666666667|0.015335798263549805|[0.9        1.         1.         0.96666667 0.96666667]|[0.9        1.         1.         0.96666667 0.96666667]|[0.93333333 1.         0.93333333 0.96666667 0.93333333]|0.9666666666666666|0.9666666666666666|0.9533333333333334
